call,5C - KC
call,QH - 8S
fold,10C - 5S
fold,8D - QH
fold,5C - 4S
raise,9S - 9C
raise,9S - 9C
fold,KS - 2S
fold,3S - 10S
call,AC - AH
fold,5C - 8C
fold,6S - JS
call,8S - 8C
call,4C - 5H
fold,3H - AC
fold,9C - 8S
fold,KC - 6C
fold,2D - 5C
fold,4C - 10D
fold,7S - 9C
fold,9D - KS
fold,3H - 7H
raise,10H - QS
fold,2C - QH
fold,4S - JH
fold,AC - 7C
fold,2D - AH
raise,AC - QC
fold,AS - 7H
fold,KD - 9S
raise,JH - QS
fold,JH - QS
fold,9D - 2C
fold,6C - 5H
fold,JC - 10S
fold,7S - 6C
fold,3S - 10C
fold,8C - AS
fold,3C - QH
fold,10D - 5C
raise,5S - AS
fold,5S - AS
fold,AS - QC
call,6H - 2H
fold,JC - 10D
fold,5D - 7H
fold,QD - 4S
fold,9D - 7D
fold,QC - AS
fold,9S - 3H
fold,6S - 4C
call,JD - KD
fold,5S - 3C
fold,6S - QC
fold,6S - 3S
fold,7D - 6C
call,KH - 10H
fold,3H - AS
fold,AH - JD
fold,6H - KD
fold,5S - KS
fold,10H - KS
fold,2C - JD
fold,6H - KH
fold,KH - 6H
raise,KC - QC
fold,7D - 4H
fold,3D - 5C
fold,2D - 9H
fold,9S - 6H
fold,4D - 7S
fold,3C - 10H
fold,9S - JD
call,3D - 9D
fold,6C - AS
fold,6C - 4D
call,6S - JD
fold,9D - 2D
fold,4H - 5S
fold,KH - 3C
fold,7C - 2S
fold,QC - 7D
fold,JC - 4D
fold,8D - JC
fold,AH - 5C
fold,KC - 8H
fold,10C - 7H
fold,KD - 4C
raise,KD - JS
raise,JH - AS
fold,6S - 2H
call,AC - QD
call,QS - 4H
fold,4H - 2H
call,3D - 4D
fold,3D - 4D
fold,7H - 9C
fold,10C - 4D
fold,4D - 2C
fold,4S - 7C
fold,4D - JS
fold,10H - 9H
call,4H - JS
fold,3C - 9H
fold,3C - 5S
raise,4C - AC
fold,4C - AC
raise,10D - KD
fold,10D - KD
call,4C - 5H
fold,3H - 7S
fold,5S - 2C
fold,KC - 3S
fold,AD - 9C
fold,7C - 6D
raise,QS - AC
raise,AS - KC
call,AS - KC
raise,QD - 10H
call,QD - 10H
fold,5D - KD
fold,7C - QH
fold,QC - 9H
fold,8C - 10S
fold,8C - 10H
fold,4S - 10S
call,10C - 8S
fold,3S - 6S
raise,9H - KH
fold,9H - KH
fold,4C - KC
raise,JC - QS
fold,3H - 4D
fold,8C - 5H
fold,6D - 8C
fold,9C - 5S
call,KH - 2D
call,KH - QH
call,AC - 10S
fold,3C - 2C
fold,8S - KC
fold,3C - 8H
raise,KS - 10H
fold,KS - 10H
fold,KC - 2D
fold,3D - 6D
fold,KS - 8D
fold,2H - JH
fold,9C - 7H
fold,KH - 7D
fold,3S - AD
fold,5H - 9S
call,6H - 5C
fold,AS - 5D
fold,7S - QS
fold,6S - QD
call,9C - KH
fold,2H - 8S
fold,7D - 2D
call,4H - 6S
fold,3C - 7C
fold,10C - 2S
fold,9S - JH
fold,10H - JD
fold,KS - AD
fold,9D - 3S
fold,2C - 7C
fold,4H - QD
fold,QC - 2C
fold,4H - KD
fold,10D - 5C
fold,JD - 8D
call,10S - KC
call,10S - KC
fold,2S - 6H
call,10S - JD
fold,10S - JD
fold,QH - 9D
raise,9H - KH
fold,QD - 6S
raise,10D - QC
fold,KD - 9H
fold,6S - 9D
fold,4H - 5C
fold,AS - 5C
fold,8D - AH
fold,10S - 2S
fold,5D - 4S
fold,7D - 10H
fold,4H - 10D
raise,5H - 4H
fold,KD - 4H
fold,4D - 7C
raise,AS - AH
call,3S - 8S
fold,4C - 3C
fold,8C - JH
raise,QD - AC
raise,AC - JH
fold,3H - 7H
fold,8D - 9H
fold,QH - 6H
raise,10C - 10S
fold,9C - JD
fold,KH - JD
fold,JH - 6S
fold,3C - 6C
fold,AD - 10C
fold,5D - 2H
fold,3H - 5D
fold,8D - 3H
fold,10D - 7C
fold,9C - KH
fold,3C - 3D
fold,10S - 2H
fold,6S - 3H
call,3C - KH
fold,8D - 9S
raise,KD - 10C
fold,10C - 2D
fold,4D - 7D
fold,8D - 6C
fold,4S - QD
raise,JC - KH
call,QD - AH
fold,5D - 6C
raise,QS - AC
fold,7C - AD
fold,7H - 10D
fold,7D - 10H
fold,QD - 7D
raise,AD - 10S
fold,2C - AD
raise,AH - 5H
fold,9S - KS
fold,3S - 8D
fold,AD - 3C
fold,JC - 5C
fold,5S - 6C
fold,AC - 7S
call,5D - 2S
fold,QH - 6C
call,4C - 5S
raise,10C - KD
fold,4C - 8H
fold,9H - KC
fold,6C - 8D
fold,4D - 9H
fold,5C - 9S
fold,3C - 4C
fold,JD - 2S
fold,9H - 4H
raise,QC - AC
fold,AC - 6H
fold,AD - 10S
fold,7S - JS
fold,QC - 7H
call,5S - JS
raise,QC - QD
fold,6H - 3H
fold,4S - 8H
fold,AD - 9S
fold,3H - 3C
call,8C - JC
call,6S - 6D
fold,QD - 7D
fold,8H - 9H
fold,5H - JH
call,QH - 9H
fold,8H - 5H
fold,KH - 5C
fold,9S - AH
raise,KD - AD
fold,8H - AD
fold,10D - 8H
fold,4S - 9H
call,8D - 2S
fold,3S - 2H
fold,10C - JD
raise,QC - JC
fold,KD - 6H
fold,4C - 7C
fold,4H - JS
fold,4S - 2C
fold,JD - 2C
fold,9S - 4D
fold,4C - 7H
fold,2H - 9H
fold,JC - 4D
raise,AD - QH
fold,8H - KC
fold,8S - 9D
call,9C - JC
fold,3D - 2C
fold,6H - 6D
call,KH - QS
fold,8S - JS
fold,KH - 5D
fold,AS - 9H
fold,3D - 9H
fold,3H - 2S
fold,10S - 2S
fold,3H - 4C
fold,10D - 3C
fold,KS - 4S
call,3H - AH
fold,7D - 10C
fold,7D - QC
fold,5D - 8H
fold,8D - 6S
fold,2H - KH
fold,6H - 4C
raise,JD - JC
fold,6C - QH
fold,KD - 9C
fold,4S - KD
fold,2C - 5C
fold,10H - 6D
fold,JD - 7H
fold,6D - 2C
fold,QC - 6S
fold,6H - 4S
call,AC - 9H
fold,JC - 6H
fold,5H - 6S
fold,10D - KH
fold,6S - 2S
fold,5C - 9H
fold,JH - 2S
fold,3C - 7S
fold,QC - 6D
fold,7H - 10C
raise,JC - QD
raise,8S - 10S
call,AH - 5S
fold,9H - 4H
fold,4D - 9H
fold,JD - 8C
fold,5S - QC
fold,2S - 6H
fold,10D - 9C
fold,3C - 2H
fold,AH - 7C
fold,5C - 3C
fold,5D - AC
fold,7S - KC
call,7S - 2S
raise,7D - AD
fold,3C - 5D
fold,7D - QC
raise,AH - 10D
fold,AH - 10D
fold,5D - 10C
fold,7C - 3C
fold,6H - 3C
fold,JD - 8H
fold,10H - 6S
fold,2C - KS
fold,5C - 6S
fold,7S - 8C
fold,QH - 5H
fold,2S - AH
fold,QS - 7C
call,QH - JS
fold,QH - JS
fold,KC - 6C
raise,QS - QD
raise,QS - QD
call,8S - 9S
fold,7D - AH
fold,5C - 4S
fold,8H - QD
fold,AH - 5H
raise,KH - KC
fold,6D - 5C
raise,AC - QC
raise,AC - QC
fold,2H - 10S
fold,KC - 4S
fold,5D - 7S
fold,10S - 8D
fold,9S - 6H
fold,7H - KD
fold,KD - 8H
fold,JD - 9S
call,JH - 7H
raise,AS - JD
fold,3D - 3C
fold,3D - JH
fold,6D - 3D
fold,6H - 9C
fold,8D - 5D
call,JH - 10D
fold,8C - QC
fold,7C - 3D
fold,3C - 9H
call,10H - KH
fold,5S - 2S
fold,4C - 6H
fold,8H - 6C
fold,5C - 2H
fold,QH - 9D
fold,KH - 4H
call,10C - 10D
fold,JD - 4D
fold,10S - KD
call,KC - 3S
raise,JH - KC
fold,JH - KC
fold,KH - 4S
raise,10C - AS
call,10C - AS
raise,7D - 6D
fold,7D - 6D
fold,3D - JS
fold,5D - AH
fold,6D - 8D
raise,AS - 4S
call,2S - 9S
fold,4D - 6S
raise,4S - AS
raise,4S - AS
fold,4C - KH
fold,8H - KC
call,5C - 9S
fold,2D - 7C
fold,6H - 2D
fold,10D - 2H
fold,5D - 8C
fold,JS - KD
fold,4D - 10S
fold,7D - 2S
fold,10H - 6H
fold,4S - QH
fold,2C - 10S
call,AD - 10S
fold,9D - QH
fold,JS - 2H
fold,6S - 10H
raise,9D - 9S
fold,9D - 9S
fold,AC - 10D
fold,10H - 7C
fold,7H - JD
fold,4D - JD
fold,9C - QD
fold,6D - 7S
fold,8S - 9D
fold,9C - 10H
fold,7S - AH
fold,6D - 3C
fold,3H - 3S
fold,AD - 6S
raise,JC - KD
raise,6D - 6H
fold,6D - 6H
fold,3D - 6H
fold,5C - 7S
raise,JD - QS
fold,JD - QS
fold,KS - 4C
fold,KC - 7H
fold,6D - 7S
fold,4C - QD
fold,KC - 4D
fold,10S - 6H
fold,2C - KS
call,2H - 2S
fold,AD - AC
fold,4D - JC
fold,4D - 5H
call,JD - QH
fold,JC - 6H
fold,5S - 4H
fold,5H - 7H
fold,4C - AS
call,7D - 2D
